Topic,University Service,Main Issues,Resolution,More Information,Attachments / Images,Related KBs,Keywords,Escalation
"Google Workspace: ""This Account is Disabled""",Gmail@Stern,This is the error whenever a Stern Gmail account is disabled or locked by ESG. Most commonly are with Alumni accounts that are currently over the storage cap or users that have been auto-locked due to violating Gmail's emailing policy.,"Look up the account on HATS first and Google Admin.
See whether Google Admin has indeed disabled it.
Then route the ticket over to eServices as they can confirm why the account has been locked.","eServices would send the ticket back with more information which you would then reply to the client to confirm the information. 

Most of the time, it is users that tend to use their Stern Gmails for marketing purposes or job searches. This triggers spam-like/bulk emailing set by Google.",Gmail disabled.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/LI-qcX-i1aosdDj2iaebig/wVvYxipVeog6Fbpcz4AEKqPI86J6E-bZjQsPc3hirWQXllm1LNqziRNFyD2RTBn8l5tUsjD3d1DBI7Mq44M5f-wqDoPv98h9Qb2lgxuC2eQ5GGhqpzAQjCSdU5F3bpKaGPe-T-0o0is5WBXkmuvviNMlIkPqn3Si9ZMfTAi0GMM/c6BRdYxH1eLxT3R-12AAZTwZ43kE15YzW7YyCyUvyw4),,"Error,Gmail,Access",eServices
How to print as a new student,Print@Stern / Papercut,,Direct the student to use WebPrint,https://it.stern.nyu.edu/home/Webprint,,"Print@Stern / PaperCut: FAQ,Print@Stern / Papercut: How-To with images,Print@Stern / PaperCut: Locating a Printer and Release Station","How-To,PaperCut,Print@Stern,New Student",eServices
ImageNow Installation,Desktop Support (Stern),,"Set up a time to meet and to install ImageNow, I believe Man has the file to do so.",,,,Request,Deskside
Imaging Laptop / PC,Desktop Support (Stern),"Someone has called about a laptop getting setup or has dropped off their laptop to be set up. Once they have arrived, please have whoever to fill out the release form that it by the front. 

Upon filling out the form, please create a ticket under 'Desktop Support'.","They should be able to drop off laptops to fill out a release form.
For PC, it is okay to pick it up just make sure a form is brought along",For Macs: please grab the PO number since it will have to be on JAMF.,,"Desktop Support (Stern): Request a Mac desktop/laptop computer setup,Desktop Support (Stern): Request a Windows desktop/laptop computer setup","Request,Setup,New Desktop,New Laptop,Image,Install",Deskside
Laptop Webcam Not Recognizing,Desktop Support (Stern),This has often occurred when users update to Windows 11 and their laptops' webcam no longer is detected despite it being built in.,https://support.microsoft.com/en-us/windows/camera-doesn-t-work-in-windows-32adb016-b29c-a928-0073-53d31da0dad5#WindowsVersion=Windows_11,"Windows 11 is known to not pick up the built in web-cam, please make sure to update drivers or be using the UVC drivers.",,,"Error,Laptop",Deskside
Limited Access Dashboard,SternLife,"Common error once the client has accessed Sternlife
","This will depend on the role of the client. 
For Students: Check their start date, if the semester does not start any time soon, this is normal and will change as the start date gets closer. (This includes Non-Stern students taking Stern courses)
For Faculty: Direct them to Faculty Affairs. 
For Staff: Direct to Stern HR 
For Temp workers: Route to AppDev 
For Alumni: This is the correct view",,Limited access Sternlife.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/VBtJZge6MLAlqmQjvEj24g/NJPa1KPWTptQ7ZqKHXgcD2gbcB_czj9b8OHHQ2kkvl3yh2AP7mvkGcOrCLmxY2vnV3IgSmMa0VZgpoCnEgcfHC3y5XhF9o35mXCSRZeoXp66qT5BoZ2OJNKd5bsu9qUMb-088DKtsFIS3v0JwDr_3cN2gang7UBb6-9WiJiIdOsw1QPGOCLW2M5DsKDR6ROt/exyQSBAenyByy-yRDxml2JBcv2LZKdu9kYxdh1aUJFg),,"Access,Error,Sternlife,Dashboard,New Student,Incoming Student",AppDev
Locked out of Duo / By-Pass code,Service Desk (Stern),"Whenever a user gets a new phone, they need to update to their new phone that is connected to DUO. ","NYU IT is the one that provides the bypass code. Please direct them to NYU IT: AskIT@nyu.edu
212-988-3333","Alternatively, you can directing create the ticket with the University Service: 'Multi-Factor Authentication (Duo)' and Issue -> Bypass Code","DUO error.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/ewurMUHRX8aXUCib8nhlrg/Cmubx-JVDC_S66fQRSjLfDsYm8IU_Z1yCAgATOGPKME7P8OySN00J14uf095B7uc3nZkP96P4ckRjQBC3z9z_Gh71iXHGcSu4ZLU9TIusb7SvSubg-jcAH0PXujTOfkASqkTQEVwj3_oveprnBlnRVgBY4gYEKd_odO-yDLz4DE/171k4_j1P6p0xUmrLyXoW6Kd2d4QE934BfaoZFImSc8),Bypass Code.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/1wwR2eFQrJS9h_bQETllpw/4wo0jHaRH_SFeBloA9CPfxgMRQyAx2RmlF4bKYAvSGoONhZAlna5CRnbm14ddkhh4p9VATm_xgLwTd2N5odntS9wq96Rp4eSFZ2wl7hiR6Tc1qk4GXhha0jaG3btiFdl569oo07r3SmhSkP8arYab-GUEGCQDgO49WTKHHuTrus/w5B2aJ0-7rAvJhe-qrdDgy3yl-jifb4i32ShaAPErZU)",,Error,
Locker Request Form,Stern Webspace,"Students have access to this form to rent a locker for the academic semester.
","Route over to AppDev
"," https://applicant.stern.nyu.edu/uglocker/
",UG locker.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/9vzhRzhhhuOJaB_WPw9jgg/7Ouyo06CfEXDDhIPBb-viw4rOS-lCbbKIIHGwUhT3vz8tfMM51It3x2upFtSgOFshpvgbHZXi43hTzG9Ho51D-lpMYkzM7nIXVI_Y0bQFS_txyiVr5X4rF23vPc-wH-iqR7Fn3BFjSCGl2vfMFsx_p2SOSbhXudLi6fAiepe9xI/mdAxJVdCSP1wBQjYugWs4h9r13WK-e-qDnYW0-jO07A),,Error,AppDev
Mail-Merge / Multi-send,Gmail@Stern,This is a new feature of Gmail that can be added by EOPS.,"Please route the ticket over to eServices as Will/Razi can toggle it for them. 
When it is send back, please allow for 24 hours for it to be added to their account.","Google's support article: https://support.google.com/mail/answer/12921167?hl=en

According to Razi, the feature to include emails from a spreadsheet will rolled out in August.",,,"Request,Gmail",eServices
MBA/PhD Application (apply.stern.nyu.edu),Stern Webspace,,"Direct the client to the respective admissions department: sternmba@stern.nyu.edu , phd@stern.nyu.edu",They are the ones who manage the application,MBA application site.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/UvtNe2-6Ezz52gGzlHhT8Q/EPMh5jSAh6e18eLjLINciRiBOSXNBmE_QAge3_oKl8uk5tTKm1RxU9SHtRYMRZ3vDwW-Z3w0n-NNGm--0XqFfPtNOxy6s1oyVOZWSmVZJTVKducYrUVycCZg6zsgLvTmBrs8ZP1f-GCq0q5DwMhQguU82pi-Zi13hAenXynKNXM/0Kb7HKK9qV_e75phmgaJzwfg9cNfENyw5dxaPRQ3Uec),,"Error,MBA",AppDev
MiniTab Access,Apps@Stern/Citrix,MiniTab is a software that is provided by Stern IT through Apps@Stern. The way to access it was recently changed.,"Please provide the user the following information:
https://sites.google.com/stern.nyu.edu/nyu-stern-minitab/experience",First check on the Licensing portal to make the client has access. NYU has auto-provisioned students that need MiniTab.,"When accessing Minitab.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/QetPFRj2WUoH_7F3W1z0Zw/VvR84xergafY48zgvkIc5St_WwSD3V9WFX_h2dRqG1SdkXB-ZN262PvXNoaqIYXVCTfSeHYwCzu82Df5RAJ5Xr0eDIvVnxLRxCplW6k5FyJAPh8uwkvrAXgJpeggWMKDP0-D1kcidTkLiJSV4k8pqBPIr9x9BvGYYIXtp_EZRLk/LfakFWFYbIC5m0qEiNysETJkCI3tkUQZ0haIfeeCWpQ),Minitab Broken.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/pfxpIBXvZD119T5LsF1l-g/7UjpipPtvlAtt52ZJjSZipa3JpFbsGuwSxGiLv4xptVyNobaVmar4MD6wvfk393fwfVx084sJLJcOgNEMzgycL7eW_H7fgIAzkS4zpQ9YNjfMlDaTD5qv2ZN-j4wIkggLV9teXSelEzXBKz7EJ_m19Yj6U4dEziOdau5v6VX4A0/s6hz5SPJnR7e4EGXuzQ9dSSyM7JHl6Sx132XCNIMASY)",,"Apps@Stern,Minitab,Access",ISS
Missing certain rooms or templates,Event Management System (EMS) (Stern),"When delegate access is given, sometimes specific buildings or templates are forgotten when providing access.",Route over to eServices,The accounts just need to be added for permissions,,EMS Web App (Stern): Reserving a space at Stern,"Request,EMS,Access",eServices
No streaming resources are available for your session,Apps@Stern/Citrix,Error when too many users are trying to access Apps@Stern,"Create a ticket
Please route over to EOPS-ISS and inform Dave/Will in regards to when this occurs. 
If there is more than one ticket at the same time (happens during a class), please record the course and professor teaching it.",This occurs when there are too many instances of Apps@Stern trying to access at the same time. Most of the time it will resolve itself but ISS can assist in creating more instances.,No streaming resource.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/Rl6FE9Qs624CQH_m3xDSFQ/CkOHSQ3JBeXB5yNzk8qZhwQMDwHJ9sRcB6MSUV4-bw81JLsqxGRq8s6phXVkSZklZKirEDOOhLwtWfXpf7P-Y_zIkbjUaX0f554EpFnKbX4zpws9t9AhbduJOq02z0_BRfDXh0NIbeqTDMM6xRZohvy4eEPM6MAVJRRIs9KOcTQ/MT00A3SLWfRl6cV1ErB9fG4IVpIWkIF4SjfYyDgIN1s),"Apps@Stern/AppStream: Opening and saving files,Apps@Stern/AppStream: Starting and Ending a Session","Apps@Stern,Minitab,Error",ISS
Non-Stern students using EMS,Event Management System (EMS) (Stern),"Whenever students would like to reserve a study space, please confirm on HATS of their student roles.
",Non-Stern students are not able to reservce study spaces.,,,,"Request,EMS,Access,Non-Stern",eServices
NYU account to send as a Stern Google Group ,Google Groups@Stern,,"Need to make sure they are the owner of the group
1) Turn ON Less Secure Apps: 'https://myaccount.google.com/lesssecureapps'
2) Send Mail As -> Stern Google Group
3) SMTP server: smtp.gmail.com
Port: 587
Username: ____@nyu.edu
Password: (Their NYU password)
Select TLS",This is funky as NYU and Stern are two different workspaces.,,,"How-To,Google Groups",eServices
NYU VPN not compatible,Service Desk (Stern),"As newer laptops are being purchased, some will come with the newer ARM64 chip. There will be certain softwares that are incompatible, ex, NYU VPN (Cisco Secure Client). NYU IT has provided us the installer for it as the KB article's link is not updated for it. ","Please meet with the client to open this up on their laptop to install.
https://drive.google.com/drive/folders/15pedJoiDWlVVZLOitgKayvfeP3GUb0KU",This is rare as the laptops that are recommended to purchase are still compatible with the current installer.,ARM VPN.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/-PiE-pra1yvrqtC_CT6Z5Q/NX78YwTgdrnc85Rsbgb7GfTJZBXRq7Bj5Y7S59n4pKtWkN99dbJo2kEAF2pUBBCxbXefyH8fm6QfJlNCd5j7UliHyq9mQhp_Bl0hLEAG7Yrfp7-Ir7L8Fd_o5-MhIaTVZJRM3P-VmIl287D3fLaCcMwigpCdUAxIZ7sgLAFN7kQ/NejTPajsjwVlXQKs7VG5sylPu6nYb30Z6HgxC7JBuB0),,Error,
NYU WiFi issues,Service Desk (Stern),,"Make sure they are using their NYU credentials and not their Stern credentials.
If they are getting a 'Can't connect to network', please forget the network and to re-add it.
If they are connected but not able to load certain sites, please collect model and MAC address for ticket creation
","To temporarily correct the loading of certain sites, you can use NYU VPN.
For first time users on campus, they may need to reset their NYU password for the first time.",,,"Error,How-To,Access",
Pitchbook / Refinitv access,Service Desk (Stern),,They should be using their NYU credentials,"Redirect them over to Library IT 
https://guides.nyu.edu/vbl/company",,,"Access,How-To",
Qualtrics - Transferring survery ownership (to another school),Surveys@Stern,,"Route it over to EOPS, Assign to Matt G.",Most of the time Matt G will get the emails request who will then create the ticket.,,,"Request,Surveys,Qualtrics",AppDev
Qualtrics - Transferring survey ownership (Internal),Surveys@Stern,,"You should have admin access for Qualtrics. Refer to the Google Doc.
Please note that Stern and NYU have two different licenses. 
Only Stern can be shared with Stern and NYU to NYU (through NYU Home)",https://docs.google.com/document/d/1VYxMC29BgNbGwFL8CTbyo3vCsEGOov2QXS5CmcbpK9g/edit?usp=sharing,,,"Request,Surveys,Qualtrics",AppDev
Qualtrics Access ,Surveys@Stern,"Mainly requests are from admins that would like to provide access to student workers. They will need the 'Temp' role.
","Please confirm the client's role. Most of the time the tickets will be from student workers (Temp workers). 
In this case, please make sure that the client does have the 'Temps' LDAP group.
If it is not there, route over to AppDev to update that role.","You should have admin access for Qualtrics. Refer to the Google Doc. https://docs.google.com/document/d/1VYxMC29BgNbGwFL8CTbyo3vCsEGOov2QXS5CmcbpK9g/edit?usp=sharing
Please note that Stern and NYU have two different licenses. 
Only Stern can be shared with Stern and NYU to NYU (through NYU Home)",,,"Request,Surveys,Qualtrics",AppDev
Reset Password,Account Management,"For expired passwords or passwords that are not synced correctly
","PTs will not have access to reset through HATS. PTs should reach out to FT staff. 
To confirm recovery email, mention domain first before the full email.","To update the recovery email, proof of identity and new email to AppDev.",,"Stern ID: Changing a Stern ID password through SIMON,Stern ID: Resetting a Stern ID password","Recovery Email,External Email,Password,Forgot Password,HATS",AppDev
Reset Security Questions / Recovery Email,Account Management,"For clients have need to reset their security questions or recovery email, ID verification will be needed. 
This can be sent via HATS
","To reset their security questions, ","If they need to update their recovery email, get proof of identity first and then route it over to AppDev once verified with the new recovery email. When AppDev sends it back, use HATS for 'Reset SQs.'",,"Stern ID: SIMON,Stern ID: Setup password recovery in SIMON","Recovery Email,External Email,Security Questions,Update Name,Verify Identity,HATS",AppDev
SAP Concur Access,Service Desk (Stern),This is an NYU access ticket,"Create / Route the ticket with the University Service: 'Travel and Expense' as this will send it towards FinanceLink.
",,,,"Access,Error",
Slate Access,Service Desk (Stern),"Slate is a tool used by MBA Admissions.
",Direct users to Adam Smith: acs511@stern.nyu.edu,,,,Access,
Spam/Phishing emails,Gmail@Stern,"Please double-check that the email did go to the client's Stern Gmail.
","1) Collect a full trace of the suspicious email for eServices: https://support.google.com/mail/answer/29436?hl=en&visit_id=1-636462803869342866-2611480541&rd=1 
2) Once this is collected, route this over to eServices. Ask the client to refrain from interacting with the email.
3) Once eServices gets back with the suspicious email blocked, ask the client to mark the email as spam/phishing with Gmail's interface.

Please double-check that the email did go to the client's Stern Gmail.
If it went to their NYU Gmail, please have them forward the email over to 'phishing@nyu.edu'. ","If it went to their NYU Gmail, please have them forward the email over to 'phishing@nyu.edu'. ",,Gmail@Stern: Stern Gmail compromised/hijacked receiving strange emails,"Error,Gmail",eServices
Stern Club accounts,Stern ID,"Mainly for new club accounts or if old club accounts have a change in leadership.
Confirm with OSE / UCOSE with the club exec. members sheet and pass over to AppDev when confirmed","Stern Club accounts, moving forward, should be created as Google Groups.
If they need to reset the password / Sec. questions, they need to be the president(s) of the group.
","OSE would share a sheet of club leaders for every new academic semester. 
If the information does not match the sheet, please CC the respective OSE for the club.",,,Request,AppDev
Stern Program for Undergraduate Research (SPUR) Database,Stern Webspace,,"This is managed by AppDev, Please route over to AppDev.
Stephen M. and Kirk M. are the ones who assist",,,,Error,AppDev
Student can't Tap to Print,Print@Stern / Papercut,,"Ask student if they are a Stern or Non-Stern student. If they recently got a new ID card, it's possible the RFID in their card isn't matched to our system yet. Also have them try typing in their Stern credentials at the printer VS tapping.","If none works, escalate to eServices",,,"Error,PaperCut,Print@Stern",eServices
Teaching Fellows Portal,Stern Webspace,,Route over to AppDev,https://w3.stern.nyu.edu/fellows/admin/home,,,Error,AppDev
Unhandled Exception error / SimpleSAMLphp error report,SternLife,Common error when accessing Sternlife or the wrong password has been put in too many times,"1) Please make sure their username is just their NetID
2) Clear cache and cookies. 
3) Otherwise, advise them to reset their password",You can also check to see if they have reset their password recently or they may believe that they have since they reset their NYU one.,"SimplePHP.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/vEFQ_U_3bwXrJX0h_e3FBg/VL4h8D6dVAywUBLWHv0r3rMxJXAOPz-V7q1r7hnehOPvR6_Jd5WWD9vT5vunsCboBvQnRH0czbNuY0ohlrJi_9UWefCU1poHjB8CsbNL7qdh7_qQSnYxgm62B_CE9LWbxwXVbJQbLm7jlZjqOfAWv6fjNxIOMLQMQn1F-dyQfPc/3ZZJq3qHm5rAzT3vG7rB1Ob6ZrchngzcN9wO5T5zmdE),SignOnError.png (https://v5.airtableusercontent.com/v3/u/54/54/1781049600000/sHHK2irFZO-Ub9yWSFRkHw/IGcyf82C9ZILAe_5WNYcgv5r9j3-YusLpesDC31aeI3scTCm1ZhbsrY4YGWWdfUxcolo8K2p4SpnvHDuHZC9Psm4HuBN_KkrW9QUU-ogKa9b015ia6IDzZGdxNgCiMSM8suwQwmzzeiDHcBdrlJZ71W8IhCqXcPsUywSx0R93_I/JOMiCpe7hWXv_LxhuxIIydwkZ9XJK7K01ZI4ukFP6xI)",,"Error,Sternlife",AppDev
Vanity email address,Account Management,"Personalized email request or professional email change
","Vanity emails are only ""firstname.lastname"" unless it has been taken. Then they can submit a request of the preferred one. https://www.nyu.edu/servicelink/041233816470844","AppDev has now changed the way a selection is given to the student. 
Please note that Staff/Faculty are allowed for an additional vanity. 
Provide information on how to add their vanity as well: https://www.nyu.edu/servicelink/KB0010153",,"Gmail@Stern: Requesting a vanity email address ,Gmail@Stern: Sending mail from a vanity email address in Gmail","Request,Update Name,Preferred Email,Vanity Email,Personalized Email,Email Address",AppDev
Webcontent.stern.nyu.edu access,Stern Webspace,,"If a staff member is trying to update a stern site/bio, get the site/Directory they need access to. This way Appdev can make sure they have the correct access. Ex: /web/web-images/pa/frb/",Staff and Faculty should be referring to https://it.stern.nyu.edu/for-staffadmins/winscp Everyone should be using their NetID to access their site.,,,"Request,Website Access,Website",AppDev
Zoom for Google Calendar,Service Desk (Stern),This is primarily for new admins that would like the feature of setting up meetings using Google Calendar.,"They can use either the Zoom plug in or the Zoom extension. I believe the plug-in is better:
https://support.zoom.us/hc/en-us/articles/360020187492-Using-the-Zoom-for-Google-Workspace-add-on",The other one allows for scheduling on behalf of someone else.,,,"How-To,Zoom,Gmail",
